chapter,module_id,major_issues,minor_issues
ALG-AP-4,class10_math_ch05_concept_4,,"Missing 'calculation' field in worked_examples.steps, which was present in master data. | The 'difficulty' field in worked_examples is an addition not present in the master data."
ALG-AP-4,class10_math_ch05_concept_2,"Worked examples in the module JSON are missing the 'calculation' field for each step, which was present and detailed in the master data. This reduces the instructional value of the examples.",The explicit connection to the sum formula (S_n) from the master data's 'ಸಂಬಂಧ' section is mentioned in the 'concept_summary' but not explicitly listed in the 'exam_intelligence.connects_to' array.
ALG-EQ1-1,class7_math_ch4_concept_6,The detailed explanation and specific examples for 'ವಿಧಾನ 1: ಭಾಗಾಕಾರದಿಂದ' and 'ವಿಧಾನ 2: ವಿಭಾಜಕ ನಿಯಮದಿಂದ' from the master data's 'methods' section are not fully present in the module's 'theory' section. The 'concept_summary' is too brief and lacks the illustrative examples.,
ALG-EQ1-1,class7_math_ch4_concept_7,"The module's 'concept_summary' does not fully capture the 'importance' aspect from the master data, specifically the connection between theoretical mathematical knowledge and practical problem-solving.","Module includes extra fields not present in master data (e.g., 'difficulty' in worked examples, 'gpstr_weightage', 'boundary_conditions', 'connects_to' in exam_intelligence)."
ALG-EQ1-1,class7_math_ch4_concept_1,,"The 'properties' field in the module JSON is an array of strings, but the master data defines it as an array of objects with 'property_name' and 'description'. While content is preserved, the structure deviates. | The 'five_mark_note' field contains the string 'null' instead of a JSON null value."
ALG-EQ1-1,class7_math_ch4_concept_3,"The 'importance' section from the master data's 'analysis' is missing from the module. | The 'properties' field in the module's 'theory' section only includes the description as a string, losing the 'property_name' structure from the master data.","The step-specific 'result' fields in the master data's worked example steps are consolidated into a single 'result' field for the entire example in the module, reducing step-by-step clarity."
ALG-EQ1-1,class7_math_ch4_concept_4,The 'previous_concept' from the master data's 'connections' is missing from the module's 'prerequisites'. | The 'importance' aspect from the master data's 'analysis' is only partially covered in the module's 'concept_summary'.,"The 'result' field for individual steps in 'worked_examples' from the master data is not explicitly present in the module's 'worked_examples.steps'. Instead, the result is integrated into the 'justification' or summarized in the overall 'result' field. | The module adds 'difficulty' and 'common_trap' fields within 'worked_examples' which are not explicitly defined in the master data's 'worked_examples' structure."
ALG-EQ2-3,class9_math_ch4_concept_3,Master data's detailed 'analysis' section explaining the difference between one-variable and two-variable solutions is not fully present in the module. | Master data's 'relation' section explicitly stating the connection between algebra and geometry and the foundation of coordinate geometry is not fully present in the module.,"The 'proof_sketch' field is an empty string in master data but 'null' in the module, which is a minor inconsistency in representation."
ALG-EXP-1,class7_math_ch10_concept_1,,"concept_summary could include examples like 'xy', 'x²y' from master data's analysis. | The 'ಸಂಬಂಧ' (relation) aspect from master data could be explicitly added to 'exam_intelligence.connects_to' or concept_summary."
ALG-EXP-1,class7_math_ch10_concept_6,"Example 5's 'analysis' (ವಿಶ್ಲೇಷಣೆ) from master data is missing. This analysis provided valuable insight into algebraic identities, which is a significant pedagogical omission.","The 'difficulty' field is added to worked examples, which was not present in the master data. | Additional fields like 'gpstr_weightage', 'five_mark_note', 'boundary_conditions', and 'connects_to' are present in 'exam_intelligence' but are not explicitly derived from the master data's 'ಶೈಕ್ಷಣಿಕ_ದೃಷ್ಟಿಕೋನ' section."
